영화명,배급사,전국관객수,개봉일
미션 임파서블: 로그네이션,롯데쇼핑㈜롯데엔터테인먼트,6126488,2015-07-30
미니언즈,유니버설픽쳐스인터내셔널 코리아(유),2625572,2015-07-29
암살,(주)쇼박스,12705700,2015-07-22
인사이드 아웃,월트디즈니컴퍼니코리아(주),4968687,2015-07-09
터미네이터 제니시스,롯데쇼핑㈜롯데엔터테인먼트,3239371,2015-07-02
연평해전,(주)넥스트엔터테인먼트월드(NEW),6043458,2015-06-24
극비수사,(주)쇼박스,2860786,2015-06-18
쥬라기 월드,유니버설픽쳐스인터내셔널 코리아(유),5546792,2015-06-11
샌 안드레아스,워너브러더스 코리아(주),1714071,2015-06-03
간신,롯데쇼핑㈜롯데엔터테인먼트,1110246,2015-05-21
스파이,이십세기폭스코리아(주),2315882,2015-05-21
악의 연대기,씨제이이앤엠(주),2192243,2015-05-14
매드 맥스: 분노의 도로,워너브러더스 코리아(주),3842441,2015-05-14
차이나타운,CGV아트하우스,1472006,2015-04-29
어벤져스: 에이지 오브 울트론,월트디즈니컴퍼니코리아(주),10494499,2015-04-23
장수상회,씨제이이앤엠(주),1160935,2015-04-09
분노의 질주: 더 세븐,유니버설픽쳐스인터내셔널 코리아(유),3247558,2015-04-01
스물,(주)넥스트엔터테인먼트월드(NEW),3044134,2015-03-25
위플래쉬,(주)쇼박스,1561815,2015-03-12
이미테이션 게임,메가박스중앙(주)플러스엠,1743774,2015-02-17
조선명탐정 : 사라진 놉의 딸,(주)쇼박스,3872015,2015-02-11
킹스맨 : 시크릿 에이전트,이십세기폭스코리아(주),6125154,2015-02-11
쎄시봉,씨제이이앤엠(주),1707487,2015-02-05
강남 1970,(주)쇼박스,2192172,2015-01-21
빅 히어로,월트디즈니컴퍼니코리아(주),2801949,2015-01-21
오늘의 연애,씨제이이앤엠(주),1891993,2015-01-14
박물관이 살아있다 : 비밀의 무덤,이십세기폭스코리아(주),1101678,2015-01-14
테이큰 3,이십세기폭스코리아(주),1860934,2015-01-01
마다가스카의 펭귄,씨제이이앤엠(주),1661230,2014-12-31
기술자들,롯데쇼핑㈜롯데엔터테인먼트,2564340,2014-12-24
국제시장,씨제이이앤엠(주),14245998,2014-12-17
호빗: 다섯 군대 전투,워너브러더스 코리아(주),2836774,2014-12-17
엑소더스: 신들과 왕들,이십세기폭스코리아(주),1511145,2014-12-03
"님아, 그 강을 건너지 마오","CGV아트하우스,(주)대명문화공장",4801355,2014-11-27
빅매치,(주)넥스트엔터테인먼트월드(NEW),1177438,2014-11-27
퓨리,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),1362114,2014-11-20
인터스텔라,워너브러더스 코리아(주),10273803,2014-11-06
나를 찾아줘,이십세기폭스코리아(주),1764233,2014-10-23
나의 사랑 나의 신부,씨네그루(주)다우기술,2135614,2014-10-08
드라큘라: 전설의 시작,유니버설픽쳐스인터내셔널 코리아(유),1321751,2014-10-08
슬로우 비디오,이십세기폭스코리아(주),1159787,2014-10-02
제보자,메가박스중앙(주)플러스엠,1735640,2014-10-02
메이즈 러너,이십세기폭스코리아(주),2812427,2014-09-18
두근두근 내 인생,씨제이이앤엠(주),1611519,2014-09-03
루시,유니버설픽쳐스인터내셔널 코리아(유),1971837,2014-09-03
타짜-신의 손,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",4001813,2014-09-03
인투 더 스톰,워너브러더스 코리아(주),2078492,2014-08-28
비긴 어게인,판씨네마(주),3427464,2014-08-13
해무(海霧),(주)넥스트엔터테인먼트월드(NEW),1466830,2014-08-13
해적: 바다로 간 산적,롯데쇼핑㈜롯데엔터테인먼트,8646758,2014-08-06
가디언즈 오브 갤럭시,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),1311190,2014-07-31
명량,씨제이이앤엠(주),17613682,2014-07-30
드래곤 길들이기 2,씨제이이앤엠(주),3000056,2014-07-23
군도: 민란의 시대,(주)쇼박스,4774895,2014-07-23
혹성탈출: 반격의 서막,이십세기폭스코리아(주),4002134,2014-07-10
신의 한 수,(주)쇼박스,3562123,2014-07-03
트랜스포머: 사라진 시대,씨제이이앤엠(주),5295801,2014-06-25
엣지 오브 투모로우,워너브러더스 코리아(주),4697142,2014-06-04
말레피센트,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),1397526,2014-05-29
끝까지 간다,(주)쇼박스,3450143,2014-05-29
엑스맨: 데이즈 오브 퓨처 패스트,이십세기폭스코리아(주),4313871,2014-05-22
인간중독,(주)넥스트엔터테인먼트월드(NEW),1441964,2014-05-14
표적,씨제이이앤엠(주),2841788,2014-04-30
역린,롯데쇼핑㈜롯데엔터테인먼트,3849433,2014-04-30
어메이징 스파이더맨 2,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),4168350,2014-04-23
캡틴 아메리카: 윈터 솔져,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),3963220,2014-03-26
노아,씨제이이앤엠(주),2026574,2014-03-20
우아한 거짓말,CGV아트하우스,1613392,2014-03-13
300: 제국의 부활,워너브러더스 코리아(주),1593116,2014-03-06
논스톱,(주)넥스트엔터테인먼트월드(NEW),2084457,2014-02-27
폼페이: 최후의 날,롯데쇼핑㈜롯데엔터테인먼트,1373873,2014-02-20
찌라시: 위험한 소문,씨제이이앤엠(주),1221420,2014-02-20
피끓는 청춘,롯데쇼핑㈜롯데엔터테인먼트,1676040,2014-01-22
남자가 사랑할 때,(주)넥스트엔터테인먼트월드(NEW),1979311,2014-01-22
수상한 그녀,씨제이이앤엠(주),8656397,2014-01-22
겨울왕국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),10296101,2014-01-16
용의자,(주)쇼박스,4131248,2013-12-24
변호인,(주)넥스트엔터테인먼트월드(NEW),11372451,2013-12-18
호빗: 스마우그의 폐허,워너브러더스 코리아(주),2282744,2013-12-12
집으로 가는 길,씨제이이앤엠(주),1854625,2013-12-11
어바웃 타임,유니버설픽쳐스인터내셔널 코리아(유),3375735,2013-12-05
결혼전야,씨너스엔터테인먼트(주),1212270,2013-11-21
헝거게임: 캣칭 파이어,롯데쇼핑㈜롯데엔터테인먼트,1125739,2013-11-21
친구 2,롯데쇼핑㈜롯데엔터테인먼트,2971475,2013-11-14
동창생,(주)쇼박스,1044522,2013-11-06
토르: 다크 월드,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),3039889,2013-10-30
공범,씨제이이앤엠(주),1766285,2013-10-24
그래비티,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",3227452,2013-10-17
화이: 괴물을 삼킨 아이,(주)쇼박스,2391963,2013-10-09
소원,롯데쇼핑㈜롯데엔터테인먼트,2663170,2013-10-02
깡철이,씨제이이앤엠(주),1204666,2013-10-02
컨저링,워너브러더스 코리아(주),2262758,2013-09-17
관상,(주)쇼박스,9134586,2013-09-11
스파이,씨제이이앤엠(주),3423920,2013-09-05
엘리시움,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),1207732,2013-08-29
나우 유 씨 미 : 마술사기단,롯데쇼핑㈜롯데엔터테인먼트,2718227,2013-08-22
숨바꼭질,(주)넥스트엔터테인먼트월드(NEW),5602543,2013-08-14
감기,아이러브시네마,3119023,2013-08-14
설국열차,씨제이이앤엠(주),8914845,2013-08-01
더 테러 라이브,롯데쇼핑㈜롯데엔터테인먼트,5583596,2013-07-31
더 울버린,이십세기폭스코리아(주),1075333,2013-07-25
터보,씨제이이앤엠(주),1923748,2013-07-25
레드: 더 레전드,롯데쇼핑㈜롯데엔터테인먼트,3004647,2013-07-18
미스터 고,(주)쇼박스,1328890,2013-07-17
퍼시픽 림,워너브러더스 코리아(주),2539114,2013-07-11
감시자들,(주)넥스트엔터테인먼트월드(NEW),5496547,2013-07-03
더 웹툰: 예고살인,씨제이이앤엠(주),1201033,2013-06-27
월드 워 Z,롯데쇼핑㈜롯데엔터테인먼트,5237525,2013-06-20
맨 오브 스틸,워너브러더스 코리아(주),2182227,2013-06-13
